created_at,text
2017-11-13 04:55:48,b'Weekly Stock Market Review: Stock Picking Using #AI; Forecasts on $BABA $NVDA $MU $QCOM $AAPL $NVDA $AMD $INTC\xe2\x80\xa6 https://t.co/CWX9Gfm4xU'
2017-11-13 04:55:23,b'RT @spoonen: AMAZING: 6 S&amp;P companies have added more than $100B MarketCap each in 2017 YTD\n1) AAPL +$300B \n2) MSFT +$180B\n3) GOOG +$180B\n4\xe2\x80\xa6'
2017-11-13 04:53:22,b'Weekly Stock Market Review: Stock Picking Using AI; Forecasts on $BABA $NVDA $MU $QCOM $AAPL\nhttps://t.co/1LJQyVDOv3 https://t.co/PyP1Y7eRdv'
2017-11-13 04:52:24,b'@BrandonVanZee @DukeEnergy @xcelenergy @Intuit @RedHatNews @McDonalds @MichaelKors @WynnLasVegas @Lennar\xe2\x80\xa6 https://t.co/CWSKZeYuCB'
2017-11-13 04:49:25,"b""The Sky's the Limit For Apple Inc. Stock (AAPL) https://t.co/bc9ETRZ2md"""
2017-11-13 04:48:49,b'RT @futuresoption: 15 of Steve #Jobs most inspiring quotes https://t.co/LwBCcVdA2H $AAPL'
2017-11-13 04:40:38,b'@business There is something wrong with that picture. It means the tech companies are overvalued. #Canada $fb $aapl $googl $amzn'
2017-11-13 04:38:24,b'RT @TopTickrs: LEVEL UP! TALK STOCKS IN OUR MARKET FOCUSED CHAT ROOM AT https://t.co/35LuLR0k4f $AAPL $ARDX $ECYT'
2017-11-13 04:35:59,"b'@marymolls Also, this: https://t.co/92THsX4Xu5'"
2017-11-13 04:35:52,b'$SPY Here are the S&amp;P 500 companies with the best and worst #earnings surprises https://t.co/b0B5UlEQtg $SPX $AAPL\xe2\x80\xa6 https://t.co/cC8w3JcUFx'
2017-11-13 04:35:29,"b""Join @RobinhoodApp and we'll both get a share of stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttps://t.co/mKhGdiYgVt"""
2017-11-13 04:35:01,b'RT @1FoxBTC: https://t.co/LkXv9bNCmb\n\nAre You Ready For The New #Bitcoin World Order? $BTC $XBT #XBT #BTCUSD #Cryptocurrency #Forex $AAPL $\xe2\x80\xa6'
2017-11-13 04:33:08,"b'RT qz ""It\xe2\x80\x99s time to update your iPhone if you\xe2\x80\x99re getting that bizarre \xe2\x80\x9ci\xe2\x80\x9d keyboard bug https://t.co/DSHDEoTunL""'"
2017-11-13 04:31:34,b'RT @qz: It\xe2\x80\x99s time to update your iPhone if you\xe2\x80\x99re getting that bizarre \xe2\x80\x9ci\xe2\x80\x9d keyboard bug https://t.co/mL8ORJk5S1'
2017-11-13 04:30:50,b'CME Group Introduces #Bitcoin Futures https://t.co/ZJWHebPmMO'
2017-11-13 04:30:36,"b'CHATBOTS EXPLAINED: Why businesses should be paying attention to the chatbot revolution (FB, AAPL, GOOG) - ... https://t.co/dv8pBMVdud'"
2017-11-13 04:30:13,"b""Our customers' top US stock holdings. Big on technology.\n\n#aapl #amzn #baba #tsla #jd #goog #fb https://t.co/AimZVx6P1t"""
2017-11-13 04:30:02,b'JOIN NOW! EXPLORE STRATEGIES IN OUR REAL TIME CHAT ROOM AT https://t.co/35LuLR0k4f $AAPL $MU $I'
2017-11-13 04:28:08,b'RT @JMitter1987: AAPL $170 top? Might be a short term high.'
2017-11-13 04:28:00,b'RT @qz: It\xe2\x80\x99s time to update your iPhone if you\xe2\x80\x99re getting that bizarre \xe2\x80\x9ci\xe2\x80\x9d keyboard bug https://t.co/mL8ORJk5S1'
2017-11-13 04:27:30,b'Apple (AAPL) Acquires Nanotech Specialist Startup InVisage #startups https://t.co/JfXaVZHutD - Learn More\xe2\x80\xa6 https://t.co/KCMeSc1Y9p'
2017-11-13 04:27:13,"b""Join @RobinhoodApp and we'll both get a share of stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttps://t.co/Ac61V1E4L2"""
2017-11-13 04:27:11,"b""Join @RobinhoodApp and we'll both get a share of stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttps://t.co/iVjdSWhl2l"""
