created_at,text
2017-11-09 23:33:10,"b""It's time to update your iPhone if you're getting that bizarre \xe2\x80\x9ci\xe2\x80\x9d keyboard bug - Quartz https://t.co/S6Hj4zHOeQ"""
2017-11-09 23:32:48,"b""RT @TheStreet: Almost 2/3 of Apple's $900B market cap came after Steve Jobs died $AAPL https://t.co/knYQYReakJ https://t.co/CuBZquFyxI"""
2017-11-09 23:31:30,"b""Join @RobinhoodApp and we'll both get a share of stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttps://t.co/X0IY55u3YC"""
2017-11-09 23:31:09,b'What comes after the iPhone? Apple\xe2\x80\x99s shifting focus to AR glasses and planning to have them available by 2020:\xe2\x80\xa6 https://t.co/UqSIa78UmR'
2017-11-09 23:31:05,"b""RT @belinda727_haas: Join @RobinhoodApp and we'll both get a share of stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttp\xe2\x80\xa6"""
2017-11-09 23:30:18,b'ACTIVE TRADERS Try one of these FREE trading guides:\n\nhttps://t.co/Qv3NjRFb9D\n\n$NFLX $TSLA $AAPL $IBB $GS $FB $AMZN $GOOGL $NVDA'
2017-11-09 23:30:15,"b""Surprise! Last Week's #AppleInc Earnings Revealed Its Next Big Thing https://t.co/MUn14HcOTY $AAPL #Apple #AppleStock"""
2017-11-09 23:30:00,"b""Join @RobinhoodApp and we'll both get a share of stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttps://t.co/Zf1kfHigct"""
2017-11-09 23:29:06,"b""Almost 2/3 of Apple's $900B market cap came after Steve Jobs died $AAPL https://t.co/knYQYReakJ https://t.co/CuBZquFyxI"""
2017-11-09 23:27:56,b'VIDEO ANALYSIS - 11/09/2017 - https://t.co/s6fFG3joYM $XLK $AAPL $FB  #Markets #NASDAQ #NYSE #Technicalanalysis\xe2\x80\xa6 https://t.co/SYVoraL0bC'
2017-11-09 23:26:28,b'RT @MacRumors: Apple is $100 Billion Away From Becoming World\xe2\x80\x99s Only Trillion Dollar Company https://t.co/So77rHZAEX by @rsgnl https://t.co\xe2\x80\xa6'
2017-11-09 23:26:13,"b'iPhone X App Roundup: The Innovative, Beautiful, and Practical https://t.co/SRgjxC2JE5 #MacStories $AAPL https://t.co/DjmqjE8MXv'"
2017-11-09 23:24:42,b'Apple (AAPL) market capitalization hits 900 billion dollars https://t.co/PPdIFhWUj3'
2017-11-09 23:23:07,"b""Apple is &amp;#36;100 Billion Away From Becoming World's Only Trillion Dollar Company https://t.co/Fk3pMb0QVB"""
2017-11-09 23:21:07,b'$AAPL $GLW:\n\nBetter Buy: Corning Incorporated vs. Apple:\n\nhttps://t.co/K41bsCJJW1'
2017-11-09 23:16:48,b'RT @FortuneMagazine: Apple is worth over $900 billion. But it won\xe2\x80\x99t be the world\xe2\x80\x99s first $1 trillion company https://t.co/HhnNDe6fuC'
2017-11-09 23:15:31,b'#Instant #Apple Unlocking $0.99 Cent All #iPhone FOR 3GS 4 4S 5 5C 5S 6 6+ #unlockfusion #icloud #freeunlock #factoryunlock $AAPL #unlock'
2017-11-09 23:15:31,b'@Guruleaks1 @JakeWatsonFX Lolz where did this slab come from ? Lolz slab city $DIS $AAPL $AMZN $PCLN $GE'
2017-11-09 23:15:09,"b'If you are not making money in this market &amp; want consistency, try our team https://t.co/XBw9TDsmCb   $FB $NFLX $AMZN $SPX $TSLA $AAPL $GS'"
2017-11-09 23:15:05,b'Why hasn\xe2\x80\x99t @AppleInc_AAPL come up with a way to FaceTime multiple people!? \xf0\x9f\xa4\xac'
2017-11-09 23:14:14,"b""Join @RobinhoodApp and we'll both get a share of stock like $AAPL, $F, or $S for free. Make sure to use my link.\n\nhttps://t.co/QUreCIAsFR"""
2017-11-09 23:12:04,b'Dr. Jim guides Anthony through a trade in $AAPL to put on a Short Call Spread in the Dec 22nd weekly cycle:\xe2\x80\xa6 https://t.co/3IdshgQJto'
2017-11-09 23:12:01,b'@Guruleaks1 What a slab Lolz slab city $AAPL $GE $QQQ $SPY'
